,['n. \xe5\x88\x86\xe8\xa7\xa3\xef\xbc\x9b\xe7\xbb\x86\xe7\x9b\xae\xe5\x88\x86\xe7\xb1\xbb']
provocative,['adj. \xe6\x8c\x91\xe6\x8b\xa8\xe7\x9a\x84\xef\xbc\x9b\xe7\x85\xbd\xe5\x8a\xa8\xe7\x9a\x84']
devastation,['n. \xe6\xaf\x81\xe5\x9d\x8f']
plow,['n. \xe7\x8a\x81']
utilization,['n. \xe5\x88\xa9\xe7\x94\xa8']
scaffolding,['n. \xe8\x84\x9a\xe6\x89\x8b\xe6\x9e\xb6']
tardiness,['n. \xe8\xbf\x9f\xe5\x88\xb0\xef\xbc\x9b\xe7\xbc\x93\xe6\x85\xa2']
remainder,['n. \xe6\xae\x8b\xe4\xbd\x99\xef\xbc\x8c\xe5\x89\xa9\xe4\xbd\x99\xe7\x89\xa9']
motivate,['vt. \xe6\xbf\x80\xe5\x8f\x91\xef\xbc\x8c\xe5\x88\xba\xe6\xbf\x80']
arms,['n. \xe6\xad\xa6\xe5\x99\xa8\xef\xbc\x8c\xe5\x85\xb5\xe7\xa7\x8d']
insult,['vt. \xe4\xbe\xae\xe8\xbe\xb1\xef\xbc\x8c\xe5\x87\x8c\xe8\xbe\xb1']
mediate,['v. \xe6\x96\xa1\xe6\x97\x8b\xef\xbc\x8c\xe8\xb0\x83\xe5\x81\x9c']
symphony,['n. \xe4\xba\xa4\xe5\x93\x8d\xe4\xb9\x90\xef\xbc\x8c\xe4\xba\xa4\xe5\x93\x8d\xe6\x9b\xb2']
asset,['n. assets \xe8\xb4\xa2\xe4\xba\xa7\xef\xbc\x8c\xe8\xb5\x84\xe4\xba\xa7']
shed,['vt. \xe8\x84\xb1\xe8\x90\xbd\xef\xbc\x8c\xe8\x9c\x95']
recommend,['vt. \xe6\x8e\xa8\xe8\x8d\x90']
strike,['n./v. \xe7\xbd\xa2\xe5\xb7\xa5\xef\xbc\x8c\xe6\x89\x93\xe5\x87\xbb']
survive,"['vi. (\xe4\xba\xba)\xe5\xb9\xb8\xe5\x85\x8d\xe4\xba\x8e\xe9\x9a\xbe,\xe6\xb4\xbb\xe4\xb8\x8b\xe6\x9d\xa5\xef\xbc\x9b(\xe7\x89\xa9)\xe8\x80\x90\xe4\xb9\x85']"
gilding,['n. \xe8\xb4\xb4\xe9\x87\x91\xe7\xae\x94\xef\xbc\x8c\xe9\x95\x80\xe9\x87\x91']
assessment,['n. \xe4\xbc\xb0\xe4\xbb\xb7\xef\xbc\x8c\xe8\xaf\x84\xe4\xbc\xb0']
breathe,['v. \xe5\x91\xbc\xe5\x90\xb8\xef\xbc\x8c\xe5\x91\xbc\xe5\x87\xba']
vestige,['n. \xe7\x97\x95\xe8\xbf\xb9\xef\xbc\x8c\xe9\x81\x97\xe8\xbf\xb9\xef\xbc\x8c\xe6\xae\x8b\xe4\xbd\x99']
rust,['n. \xe9\x94\x88\xef\xbc\x8c\xe7\x94\x9f\xe9\x94\x88']
relay,['vt. \xe5\x88\x86\xe7\xa8\x8b\xe4\xbc\xa0\xe9\x80\x92\xef\xbc\x9b\xe4\xbc\xa0\xe6\x92\xad']
relax,['v. \xef\xbc\x88\xe4\xbd\xbf\xef\xbc\x89\xe6\x9d\xbe\xe5\xbc\x9b\xef\xbc\x8c\xe6\x94\xbe\xe6\x9d\xbe']
remark,['n. \xe8\xaf\x84\xe8\xae\xba\xef\xbc\x8c\xe6\xb3\xa8\xe9\x87\x8a']
mesmerize,['vt. \xe6\x96\xbd\xe5\x82\xac\xe7\x9c\xa0\xe6\x9c\xaf\xef\xbc\x9b\xe4\xbd\xbf\xe5\x85\xa5\xe8\xbf\xb7\xef\xbc\x8c\xe8\xbf\xb7\xe4\xbd\x8f']
ascribe,['vt. \xe6\x8a\x8a\xe2\x80\xa6\xe5\xbd\x92\xe4\xba\x8e']
infusion,['n. \xe6\xb3\xa8\xe5\x85\xa5']
portraiture,['n. \xe8\x82\x96\xe5\x83\x8f\xe7\x94\xbb\xe6\xb3\x95']
escapist,['adj./n. \xe9\x80\x83\xe9\x81\xbf\xe7\x8e\xb0\xe5\xae\x9e\xe7\x9a\x84\xef\xbc\x88\xe4\xba\xba\xef\xbc\x89']
dogma,['n. \xe6\x95\x99\xe6\x9d\xa1\xef\xbc\x8c\xe6\x95\x99\xe4\xb9\x89']
deciduous,['adj. \xe6\xaf\x8f\xe5\xb9\xb4\xe8\x90\xbd\xe5\x8f\xb6\xe7\x9a\x84']
interaction,['n. \xe7\x9b\xb8\xe4\xba\x92\xe4\xbd\x9c\xe7\x94\xa8']
baby boom,['\xe8\xaf\x8d\xe7\xbb\x84 \xe7\x94\x9f\xe8\x82\xb2\xe9\xab\x98\xe5\xb3\xb0']
excellent,['adj. \xe4\xbc\x98\xe8\x89\xaf\xe7\x9a\x84\xef\xbc\x8c\xe6\x9d\xb0\xe5\x87\xba\xe7\x9a\x84']
organic,['adj. \xef\xbc\x88\xe5\x8c\x96\xe5\xad\xa6\xef\xbc\x89\xe6\x9c\x89\xe6\x9c\xba\xe7\x9a\x84']
ware,['n. \xe9\x99\xb6\xe5\x99\xa8\xef\xbc\x8c\xe5\x99\xa8\xe7\x9a\xbf']
outdated,['adj. \xe8\xbf\x87\xe6\x97\xb6\xe7\x9a\x84']
pot,['n. \xe7\xbd\x90\xef\xbc\x8c\xe5\xa3\xb6']
abundance,['n. \xe4\xb8\xb0\xe5\xaf\x8c\xef\xbc\x8c\xe5\x85\x85\xe8\xa3\x95']
symbology,['n. \xe8\xb1\xa1\xe5\xbe\x81\xe5\xad\xa6']
flora,['n. \xe6\x9f\x90\xe4\xb8\x80\xe5\x9c\xb0\xe5\x8c\xba\xe6\x88\x96\xe6\x97\xb6\xe6\x9c\x9f\xe7\x9a\x84\xe6\xa4\x8d\xe7\x89\xa9\xe6\x80\xbb\xe7\xa7\xb0']
pursue,['vt. \xe8\xbf\xbd\xe8\xb5\xb6\xef\xbc\x8c\xe8\xbf\xbd\xe8\xb8\xaa\xef\xbc\x9b\xe4\xbb\x8e\xe4\xba\x8b']
potted,['adj. \xe7\x9b\x86\xe6\xa0\xbd\xe7\x9a\x84\xef\xbc\x9b\xe5\xb9\xb3\xe6\x88\x96\xe7\xbd\x90\xe8\xa3\x85\xe7\x9a\x84']
accomplishment,['n. \xe6\x88\x90\xe5\xb0\xb1']
eclipse,['n. \xe6\x97\xa5\xe8\x9a\x80\xef\xbc\x8c\xe6\x9c\x88\xe8\x9a\x80']
novel,['adj. \xe6\x96\xb0\xe5\xa5\x87\xe7\x9a\x84\xef\xbc\x8c\xe6\x96\xb0\xe9\xa2\x96\xe7\x9a\x84']
tissue,['n. [\xe7\x94\x9f]\xe7\xbb\x84\xe7\xbb\x87']
modify,['vt. \xe4\xbf\xae\xe6\x94\xb9\xef\xbc\x8c\xe5\x8f\x98\xe6\x9b\xb4']
norm,['n. \xe6\xa0\x87\xe5\x87\x86\xef\xbc\x8c\xe8\xa7\x84\xe8\x8c\x83']
foliage,['n. \xe6\xa0\x91\xe5\x8f\xb6\xef\xbc\x8c\xe6\xa4\x8d\xe7\x89\xa9']
substantiate,['vt. \xe8\xaf\x81\xe5\xae\x9e\xef\xbc\x8c\xe5\x8a\xa0\xe5\xbc\xba']
elbow,['n. \xe8\x82\x98']
akin,['adj. \xe5\x90\x8c\xe6\x97\x8f\xe7\x9a\x84\xef\xbc\x9b\xe7\xb1\xbb\xe4\xbc\xbc\xe7\x9a\x84']
appraisal,['n. \xe8\xaf\x84\xe4\xbb\xb7\xef\xbc\x8c\xe4\xbc\xb0\xe4\xbb\xb7']
addictive,['adj. \xef\xbc\x88\xe4\xbd\xbf\xe4\xba\xba\xef\xbc\x89\xe4\xb8\x8a\xe7\x98\xbe\xe7\x9a\x84']
decorative,['adj. \xe8\xa3\x85\xe9\xa5\xb0\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\xaf\xe4\xbd\x9c\xe8\xa3\x85\xe9\xa5\xb0\xe7\x9a\x84']
defer,['vi. \xe9\x81\xb5\xe4\xbb\x8e\xef\xbc\x8c\xe5\x90\xac\xe4\xbb\x8e']
loosen,['vt. \xe8\xa7\xa3\xe5\xbc\x80\xef\xbc\x8c\xe6\x94\xbe\xe6\x9d\xbe']
transition,['n. \xe8\xbd\xac\xe5\x8f\x98\xef\xbc\x8c\xe8\xbf\x87\xe6\xb8\xa1']
bandleader,['n. \xe4\xb9\x90\xe9\x98\x9f\xe6\x8c\x87\xe6\x8c\xa5']
estate,['n. \xe8\xb4\xa2\xe4\xba\xa7\xef\xbc\x9b\xe4\xb8\x8d\xe5\x8a\xa8\xe4\xba\xa7']
wane,['v. \xe5\x87\x8f\xe5\xb0\x91\xef\xbc\x8c\xe8\xa1\xb0\xe8\x90\xbd']
dolphin,['n. \xe6\xb5\xb7\xe8\xb1\x9a']
lure,['vt. \xe5\xbc\x95\xe8\xaf\xb1\xef\xbc\x8c\xe8\xaf\xb1\xe6\x83\x91']
sick,['adj. \xe4\xb8\x8d\xe8\x88\x92\xe6\x9c\x8d\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe7\x97\x85\xe7\x9a\x84\xef\xbc\x9b\xe6\x81\xb6\xe5\xbf\x83\xe7\x9a\x84']
impair,['vt. \xe6\x8d\x9f\xe5\xae\xb3\xef\xbc\x8c\xe4\xbd\xbf\xe5\xbc\xb1']
currency,['n. \xe9\x80\x9a\xe8\xb4\xa7\xef\xbc\x8c\xe8\xb4\xa7\xe5\xb8\x81']
strengthen,['vt. \xe5\x8a\xa0\xe5\xbc\xba\xef\xbc\x8c\xe5\xb7\xa9\xe5\x9b\xba']
caution,['n. \xe5\xb0\x8f\xe5\xbf\x83\xef\xbc\x8c\xe8\xb0\xa8\xe6\x85\x8e']
at one session,['\xe8\xaf\x8d\xe7\xbb\x84 \xe4\xb8\x80\xe4\xb8\x8b\xe5\xad\x90\xef\xbc\x8c\xe4\xb8\x80\xe6\xac\xa1\xe6\x80\xa7']
quail,['n. \xe9\xb9\x8c\xe9\xb9\x91']
counseling,['n. \xe5\x92\xa8\xe8\xaf\xa2\xe6\x9c\x8d\xe5\x8a\xa1']
rayon,"['n. \xe4\xba\xba\xe9\x80\xa0\xe4\xb8\x9d, \xe4\xba\xba\xe9\x80\xa0\xe7\xba\xa4\xe7\xbb\xb4']"
indifferent,['adj. \xe4\xb8\x8d\xe6\x84\x9f\xe5\x85\xb4\xe8\xb6\xa3\xe7\x9a\x84\xef\xbc\x8c\xe6\xbc\xa0\xe4\xb8\x8d\xe5\x85\xb3\xe5\xbf\x83\xe7\x9a\x84']
attract,['vt. \xe5\x90\xb8\xe5\xbc\x95\xef\xbc\x9b\xe5\xbc\x95\xe8\xb5\xb7\xe6\xb3\xa8\xe6\x84\x8f']
absolute,['adj. \xe5\xae\x8c\xe5\x85\xa8\xe7\x9a\x84\xef\xbc\x9b\xe7\xbb\x9d\xe5\xaf\xb9\xe7\x9a\x84']
ceremony,['n. \xe5\x85\xb8\xe7\xa4\xbc\xef\xbc\x8c\xe4\xbb\xaa\xe5\xbc\x8f\xef\xbc\x9b\xe7\xa4\xbc\xe8\x8a\x82']
legislate,['vt. \xe7\xab\x8b\xe6\xb3\x95']
autonomy,['n. \xe8\x87\xaa\xe6\xb2\xbb\xef\xbc\x8c\xe8\x87\xaa\xe6\xb2\xbb\xe6\x9d\x83']
hoe,['vt. \xe7\x94\xa8\xe9\x94\x84\xe8\x80\x95\xe5\x9c\xb0\xef\xbc\x8c\xe9\x94\x84']
mainspring,['n. (\xe9\x92\x9f\xe8\xa1\xa8\xe7\x9a\x84)\xe4\xb8\xbb\xe5\x8f\x91\xe6\x9d\xa1']
farce,['n. \xe9\x97\xb9\xe5\x89\xa7\xef\xbc\x8c\xe6\xbb\x91\xe7\xa8\xbd\xe5\x89\xa7']
chilly,['adj. \xe5\xaf\x92\xe5\x86\xb7\xe7\x9a\x84']
auger,['n. \xe8\x9e\xba\xe4\xb8\x9d\xe9\x92\xbb\xef\xbc\x8c\xe9\x92\xbb\xe5\xad\x94\xe6\x9c\xba']
overburden,['v. \xe8\xa3\x85\xe8\xbd\xbd\xe8\xbf\x87\xe5\xa4\x9a\xef\xbc\x9b\xe8\xb4\x9f\xe6\x8b\x85\xe8\xbf\x87\xe5\xa4\x9a']
indiscriminately,['adv. \xe9\x9a\x8f\xe6\x84\x8f\xe5\x9c\xb0\xef\xbc\x9b\xe4\xb8\x8d\xe5\x8a\xa0\xe5\x8c\xba\xe5\x88\xab\xe5\x9c\xb0']
amazing,['adj. \xe4\xbb\xa4\xe4\xba\xba\xe6\x83\x8a\xe5\xbc\x82\xe7\x9a\x84']
adjacent,['adj. \xe6\xaf\x97\xe8\xbf\x9e\xe7\x9a\x84\xef\xbc\x8c\xe9\x82\xbb\xe8\xbf\x91\xe7\x9a\x84']
perishable,['adj. \xef\xbc\x88\xe5\xb0\xa4\xe6\x8c\x87\xe9\xa3\x9f\xe7\x89\xa9\xef\xbc\x89\xe6\x98\x93\xe8\x85\x90\xe7\x9a\x84\xef\xbc\x8c\xe6\x98\x93\xe5\x9d\x8f\xe7\x9a\x84']
toxic,['adj. \xe6\x9c\x89\xe6\xaf\x92\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\xad\xe6\xaf\x92\xe7\x9a\x84']
ancestor,['n. \xe7\xa5\x96\xe5\x85\x88\xef\xbc\x8c\xe7\xa5\x96\xe5\xae\x97']
preferable,['adj. \xe6\x9b\xb4\xe5\x8f\xaf\xe5\x8f\x96\xe7\x9a\x84\xef\xbc\x8c\xe6\x9b\xb4\xe5\xa5\xbd\xe7\x9a\x84']
blanket,['n. \xe6\xaf\xaf\xe5\xad\x90\xef\xbc\x9b\xe5\x8e\x9a\xe7\x9a\x84\xe9\x81\xae\xe7\x9b\x96\xe7\x89\xa9']
cadence,['n. \xef\xbc\x88\xe8\xaf\xad\xe8\xb0\x83\xe7\x9a\x84\xef\xbc\x89\xe6\x8a\x91\xe6\x89\xac\xe9\xa1\xbf\xe6\x8c\xab']
fanaticism,['n. \xe7\x8b\x82\xe7\x83\xad\xef\xbc\x8c\xe7\x9b\xb2\xe4\xbf\xa1']
dialect,['n. \xe6\x96\xb9\xe8\xa8\x80\xef\xbc\x8c\xe5\x9c\x9f\xe8\xaf\x9d']
moisten,['vt. \xe5\xbc\x84\xe6\xb9\xbf\xef\xbc\x8c\xe4\xbd\xbf\xe6\xb9\xbf\xe6\xb6\xa6']
a cushion of,['\xe8\xaf\x8d\xe7\xbb\x84 \xe4\xb8\x80\xe5\xb1\x82']
minority,['n. \xe5\xb0\x91\xe6\x95\xb0\xef\xbc\x9b\xe5\xb0\x91\xe6\x95\xb0\xe6\xb0\x91\xe6\x97\x8f']
arthritis,['n. \xe5\x85\xb3\xe8\x8a\x82\xe7\x82\x8e']
standpoint,['n. \xe7\xab\x8b\xe5\x9c\xba\xef\xbc\x8c\xe8\xa7\x82\xe7\x82\xb9']
lengthy,['adj. (\xe6\xbc\x94\xe8\xaf\xb4\xe3\x80\x81\xe6\x96\x87\xe7\xab\xa0\xe7\xad\x89)\xe5\x86\x97\xe9\x95\xbf\xe7\x9a\x84\xef\xbc\x8c\xe5\x95\xb0\xe5\x97\xa6\xe7\x9a\x84']
customs,['n. \xe8\xbf\x9b\xe5\x8f\xa3\xe7\xa8\x8e\xef\xbc\x9b\xe6\xb5\xb7\xe5\x85\xb3']
diagram,['n. \xe5\x9b\xbe\xe8\xa1\xa8']
modest,['adj. \xe8\xb0\xa6\xe8\x99\x9a\xe7\x9a\x84\xef\xbc\x9b\xe9\x80\x82\xe5\xba\xa6\xe7\x9a\x84']
lay,['vt. \xe4\xba\xa7\xe5\x8d\xb5\xef\xbc\x8c\xe4\xb8\x8b\xe8\x9b\x8b']
curiosity,['n. \xe5\xa5\xbd\xe5\xa5\x87\xe5\xbf\x83']
uproot,['v. \xe8\xbf\x9e\xe6\xa0\xb9\xe6\x8b\x94\xe8\xb5\xb7\xef\xbc\x8c\xe6\x8b\x94\xe9\x99\xa4']
meaningful,['adj. \xe6\x84\x8f\xe5\x91\xb3\xe6\xb7\xb1\xe9\x95\xbf\xe7\x9a\x84']
parallel,['vt. \xe4\xb8\x8e\xe2\x80\xa6\xe5\xb9\xb3\xe8\xa1\x8c\xef\xbc\x9b\xe5\x8c\xb9\xe6\x95\x8c']
ambivalent,['adj. \xe6\x9c\x89\xe7\x9f\x9b\xe7\x9b\xbe\xe6\x83\x85\xe7\xbb\xaa\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\xbe\xe6\xa3\x8b\xe4\xb8\x8d\xe5\xae\x9a\xe7\x9a\x84']
recital,['n. \xe7\x8b\xac\xe5\xa5\x8f\xe4\xbc\x9a']
attempt,['n./vi. \xe5\xb0\x9d\xe8\xaf\x95']
effective,['adj. \xe6\x9c\x89\xe6\x95\x88\xe7\x9a\x84\xef\xbc\x9b\xe7\x94\x9f\xe6\x95\x88\xe7\x9a\x84']
amid,['prep. \xe5\x9c\xa8\xe2\x80\xa6\xe4\xb8\xad']
appreciate,['vt. \xe8\xb5\x8f\xe8\xaf\x86\xef\xbc\x9b\xe9\x89\xb4\xe8\xb5\x8f']
headquarters,['n. \xe5\x8f\xb8\xe4\xbb\xa4\xe9\x83\xa8\xef\xbc\x8c\xe6\x80\xbb\xe9\x83\xa8']
fictional,['adj. \xe8\x99\x9a\xe6\x9e\x84\xe7\x9a\x84']
neglect,['n./vt. \xe7\x96\x8f\xe5\xbf\xbd\xef\xbc\x9b\xe5\xbf\x98\xe8\xae\xb0']
baggage,['n. \xe8\xa1\x8c\xe6\x9d\x8e']
complexity,['n. \xe5\xa4\x8d\xe6\x9d\x82\xef\xbc\x88\xe6\x80\xa7\xef\xbc\x89']
life span,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\xaf\xbf\xe5\x91\xbd']
haste,['n. \xe5\x8c\x86\xe5\xbf\x99\xef\xbc\x8c\xe6\x80\xa5\xe5\xbf\x99\xef\xbc\x9b\xe8\x8d\x89\xe7\x8e\x87']
jungle,['n. \xe4\xb8\x9b\xe6\x9e\x97']
plumbing,['n. \xef\xbc\x88\xe4\xbe\x9b\xe6\xb0\xb4\xef\xbc\x89\xe7\xae\xa1\xe9\x81\x93\xe7\xb3\xbb\xe7\xbb\x9f']
vitalism,"['n. \xe6\xb4\xbb\xe6\x9c\xba\xe8\xae\xba, \xe7\x94\x9f\xe6\x9c\xba\xe8\xaf\xb4']"
inhabitant,['n. \xe5\xb1\x85\xe6\xb0\x91\xef\xbc\x8c\xe4\xbd\x8f\xe6\x88\xb7']
vapor,['n. \xe6\xb0\xb4\xe6\xb1\xbd\xef\xbc\x8c\xe6\xb0\xb4\xe8\x92\xb8\xe6\xb0\x94']
archaeology,['n. \xe8\x80\x83\xe5\x8f\xa4\xe5\xad\xa6']
backdrop,['n. \xe8\x88\x9e\xe5\x8f\xb0\xe8\x83\x8c\xe6\x99\xaf\xef\xbc\x9b\xe8\x83\x8c\xe6\x99\xaf']
leisurely,['adj. \xe4\xbb\x8e\xe5\xae\xb9\xe7\x9a\x84\xef\xbc\x8c\xe6\x82\xa0\xe9\x97\xb2\xe7\x9a\x84']
undo,['v. \xe8\xa7\xa3\xe5\xbc\x80\xef\xbc\x8c\xe6\x9d\xbe\xe5\xbc\x80']
exotic,['adj. \xe5\xbc\x82\xe5\x9b\xbd\xe7\x9a\x84\xef\xbc\x8c\xe5\xa4\x96\xe6\x9d\xa5\xe7\x9a\x84\xef\xbc\x9b\xe5\xa5\x87\xe5\xbc\x82\xe7\x9a\x84']
theme,"['n. (\xe8\xb0\x88\xe8\xaf\x9d, \xe5\x86\x99\xe4\xbd\x9c\xe7\xad\x89\xe7\x9a\x84)\xe9\xa2\x98\xe7\x9b\xae, \xe4\xb8\xbb\xe9\xa2\x98']"
interpretation,['n. \xe8\xa7\xa3\xe9\x87\x8a']
deform,['vt. \xe4\xbd\xbf\xe5\x8f\x98\xe5\xbd\xa2']
deck,['n. \xe4\xb8\x80\xe5\x89\xaf\xef\xbc\x88\xe7\xba\xb8\xe7\x89\x8c\xef\xbc\x89']
sprout,['vi. \xe9\x95\xbf\xe5\x87\xba\xef\xbc\x8c\xe8\x90\x8c\xe8\x8a\xbd']
alternation,['n. \xe4\xba\xa4\xe6\x9b\xbf\xef\xbc\x8c\xe8\xbd\xae\xe6\xb5\x81']
govern,['vt. \xe7\xbb\x9f\xe6\xb2\xbb\xef\xbc\x8c\xe7\xae\xa1\xe7\x90\x86\xef\xbc\x9b\xe6\x8e\xa7\xe5\x88\xb6']
inconclusive,['adj. \xe9\x9d\x9e\xe5\x86\xb3\xe5\xae\x9a\xe7\x9a\x84']
unselfish,"['adj. \xe4\xb8\x8d\xe8\x87\xaa\xe7\xa7\x81\xe7\x9a\x84, \xe6\x85\xb7\xe6\x85\xa8\xe7\x9a\x84']"
presence,['n. \xe5\x87\xba\xe5\xb8\xad\xef\xbc\x8c\xe5\x88\xb0\xe5\x9c\xba']
hibernation,['n. \xe5\x86\xac\xe7\x9c\xa0']
suspend,['vt. \xe5\x90\x8a\xef\xbc\x8c\xe6\x82\xac\xe6\x8c\x82']
fortify,['vt. \xe5\x8a\xa0\xe5\xbc\xba\xef\xbc\x8c\xe5\xb7\xa9\xe5\x9b\xba']
thesis,['n. \xe8\xae\xba\xe9\xa2\x98\xef\xbc\x8c\xe8\xae\xba\xe6\x96\x87']
keyboard,['n. \xe9\x94\xae\xe7\x9b\x98']
responsive,['adj. \xe5\x93\x8d\xe5\xba\x94\xe7\x9a\x84\xef\xbc\x8c\xe5\x81\x9a\xe5\x87\xba\xe7\x9b\xb8\xe5\xba\x94\xe7\x9a\x84']
spontaneous,['adj. \xe8\x87\xaa\xe5\x8f\x91\xe7\x9a\x84\xef\xbc\x8c\xe8\x87\xaa\xe7\x84\xb6\xe4\xba\xa7\xe7\x94\x9f\xe7\x9a\x84']
diagonally,['adv. \xe6\x88\x90\xe5\xaf\xb9\xe8\xa7\x92\xe7\xba\xbf\xe5\x9c\xb0\xef\xbc\x8c\xe6\x96\x9c\xe5\xaf\xb9\xe5\x9c\xb0']
naturalist,['n. \xe8\x87\xaa\xe7\x84\xb6\xe4\xb8\xbb\xe4\xb9\x89\xe8\x80\x85\xef\xbc\x8c\xe5\x8d\x9a\xe7\x89\xa9\xe5\xad\xa6\xe7\x9d\x80']
digest,['vt. \xe6\xb6\x88\xe5\x8c\x96']
fir,['n. \xe6\x9d\x89\xe6\x9c\xa8']
frisky,['adj. \xe6\xb4\xbb\xe6\xb3\xbc\xe7\x9a\x84\xef\xbc\x8c\xe6\xac\xa2\xe9\x97\xb9\xe7\x9a\x84']
harmonica,['n. \xe5\x8f\xa3\xe7\x90\xb4']
backpack,['n. \xe8\x83\x8c\xe5\x8c\x85']
recreational,['adj. \xe5\xa8\xb1\xe4\xb9\x90\xe7\x9a\x84']
unpromising,"['adj. \xe6\x97\xa0\xe5\x89\x8d\xe9\x80\x94\xe7\x9a\x84, \xe6\xb2\xa1\xe6\x9c\x89\xe5\xb8\x8c\xe6\x9c\x9b\xe7\x9a\x84']"
crew,['n. \xe5\x85\xa8\xe4\xbd\x93\xe5\xb7\xa5\xe4\xbd\x9c\xe4\xba\xba\xe5\x91\x98\xef\xbc\x9b\xe5\x90\x8c\xe4\xba\x8b\xe4\xbb\xac']
plantation,['n. \xe7\xa7\x8d\xe6\xa4\x8d\xe5\x9b\xad']
drawback,['n. \xe5\xbc\x8a\xe7\xab\xaf\xef\xbc\x8c\xe7\xbc\xba\xe7\x82\xb9']
compensatory,['adj. \xe8\xa1\xa5\xe5\x81\xbf\xe6\x80\xa7\xe7\x9a\x84']
encounter,['vt. \xe9\x81\xad\xe9\x81\x87\xef\xbc\x8c\xe9\x81\x87\xe5\x88\xb0']
fade,['vi. \xe9\x80\x90\xe6\xb8\x90\xe6\xb6\x88\xe5\xa4\xb1']
commercialize,['vt. \xe4\xbd\xbf\xe5\x95\x86\xe4\xb8\x9a\xe5\x8c\x96\xef\xbc\x8c\xe4\xbd\xbf\xe5\x95\x86\xe5\x93\x81\xe5\x8c\x96']
carve,['vt. \xe5\x88\x87\xe5\xbc\x80\xef\xbc\x9b\xe9\x9b\x95\xe5\x88\xbb']
precipitate,['vt. \xe4\xbf\x83\xe6\x88\x90\xef\xbc\x9b\xe5\x8a\xa0\xe9\x80\x9f']
shear,['v. \xe5\x89\xaa\xef\xbc\x8c\xe4\xbf\xae\xe5\x89\xaa\xef\xbc\x8c\xe5\x89\xaa\xe5\x88\x87']
harmony,['n. \xe5\x8d\x8f\xe8\xb0\x83\xef\xbc\x8c\xe8\x9e\x8d\xe6\xb4\xbd']
spotless,['adj. \xe6\xb2\xa1\xe6\x9c\x89\xe6\xb1\xa1\xe7\x82\xb9\xe7\x9a\x84']
eventually,['adv. \xe7\xbb\x88\xe4\xba\x8e']
glorify,['v. \xe7\xbe\x8e\xe5\x8c\x96\xef\xbc\x8c\xe8\xb5\x9e\xe6\x89\xac']
affected,['adj. \xe8\xa3\x85\xe6\xa8\xa1\xe4\xbd\x9c\xe6\xa0\xb7\xe7\x9a\x84']
combination,['n. \xe5\x8c\x96\xe5\x92\x8c\xef\xbc\x8c\xe7\xbb\x84\xe5\x90\x88']
fragment,['n. \xe7\xa2\x8e\xe7\x89\x87\xef\xbc\x8c\xe7\xa0\xb4\xe7\x89\x87']
enrich,['vt. \xe5\x8a\xa0\xe6\x96\x99\xe4\xba\x8e(\xe9\xa3\x9f\xe7\x89\xa9)\xef\xbc\x9b\xe4\xbd\xbf\xe5\xaf\x8c\xe8\xb6\xb3\xef\xbc\x8c\xe4\xbd\xbf\xe8\x82\xa5\xe6\xb2\x83']
plaster,['n. \xe7\x81\xb0\xe6\xb3\xa5\xef\xbc\x8c\xe7\x9f\xb3\xe8\x86\x8f']
amenable,['adj. \xe9\xa1\xba\xe4\xbb\x8e\xe7\x9a\x84\xef\xbc\x9b\xe5\xba\x94\xe6\x9c\x8d\xe4\xbb\x8e\xe7\x9a\x84']
roost,['n. \xe6\xa0\x96\xe6\x81\xaf\xe5\xa4\x84\xef\xbc\x8c\xe9\xb8\x9f\xe5\xb7\xa2']
bandmaster,['n. \xe4\xb9\x90\xe9\x98\x9f\xe6\x8c\x87\xe6\x8c\xa5']
trail,['n. \xe8\xb8\xaa\xe8\xbf\xb9\xef\xbc\x8c\xe5\xb0\x8f\xe8\xb7\xaf   v. \xe8\xbf\xbd\xe8\xb8\xaa']
express train,['\xe8\xaf\x8d\xe7\xbb\x84 \xe7\x89\xb9\xe5\xbf\xab\xe5\x88\x97\xe8\xbd\xa6']
commemorate,['v. \xe7\xba\xaa\xe5\xbf\xb5']
band,['n. \xe4\xb9\x90\xe9\x98\x9f\xef\xbc\x9b\xe9\x98\x9f']
bang,['v. \xe5\x8f\x91\xe5\x87\xba\xe7\xa0\xb0\xe7\x9a\x84\xe4\xb8\x80\xe5\xa3\xb0\xef\xbc\x8c\xe9\x87\x8d\xe5\x87\xbb']
hinterland,['n. \xe7\xa9\xb7\xe4\xb9\xa1\xe5\x83\xbb\xe5\xa3\xa4\xef\xbc\x9b\xe8\x85\xb9\xe5\x9c\xb0']
fortunate,['adj. \xe5\xb9\xb8\xe8\xbf\x90\xe7\x9a\x84']
interrupt,['vt. \xe6\x89\x93\xe6\x96\xad\xef\xbc\x8c\xe4\xbd\xbf\xe4\xb8\xad\xe6\x96\xad']
glazed,['adj. \xe4\xb8\x8a\xe8\xbf\x87\xe9\x87\x89\xe7\x9a\x84\xef\xbc\x8c\xe8\xa1\xa8\xe9\x9d\xa2\xe5\x85\x89\xe6\xbb\x91\xe7\x9a\x84']
